
**************************
入力ファイル名: the_constitution_of_the_usa.txt

*** 単語の出現頻度 ***
  98 a
   1 ability
   1 abr
   1 abridge
   5 abridged
   1 abridging
   1 absence
   1 absent
   1 absolutely
   1 accept
   1 acceptance
   6 according
   2 accordingly
   4 account
   1 accusation
   1 accused
   8 act
   1 acted
   5 acting
   2 acts
   3 actual
   1 actually
   1 adding
   1 addition
   1 adhering
   3 adjourn
   3 adjournment
   1 admiralty
   2 admit
   1 admitted
   2 adoption
   2 advice
   2 affect
   2 affecting
   1 affirm
   4 affirmation
   8 after
  14 against
   7 age
   1 agree
   1 agreement
   3 aid
   1 alexander
  41 all
   1 alliance
   1 alone
   1 also
   1 alter
   4 ambassadors
  35 amendment
   3 amendments
   4 america
   4 among
  17 an
 264 and
   7 another
   1 answer
  77 any
   2 anything
   1 appellate
   2 application
   1 apply
   5 appoint
   7 appointed
   2 appointment
   3 appointments
   2 apportioned
   1 apportionment
   8 appropriate
   1 appropriation
   1 appropriations
   1 approve
   2 approved
   4 are
   2 arising
   1 armies
   1 arming
   1 arms
   1 army
   1 arrest
   1 arsenals
  28 article
   1 articles
   1 arts
  64 as
   2 ascertained
   4 assemble
   1 assembled
   1 assembling
   1 assistance
   2 assume
  23 at
   3 attainder
   3 attained
   1 attainted
   2 attendance
   8 authority
   2 authorized
   1 authors
   1 b
   1 bail
   1 baldwin
   5 ballot
   2 ballots
   1 bankruptcies
   1 basis
   1 bassett
 180 be
   2 bear
   5 become
   2 becomes
   1 bedford
  17 been
  10 before
   2 begin
   2 beginning
   1 behavior
   1 behaviour
   3 being
   1 belonging
   1 best
   7 between
   1 beverage
   7 bill
   3 bills
   1 blair
   1 blessings
   1 blood
   1 blount
   2 body
   2 born
   1 borrow
   9 both
   4 bound
   1 bounties
   2 branch
   1 breach
   1 brearly
   1 bribery
   1 broom
   1 buildings
   1 business
  33 but
   1 butler
  99 by
   1 call
   1 called
   1 calling
   1 cannot
   1 capital
   1 capitation
   1 captures
   1 care
   4 carolina
   1 carroll
   1 carrying
  13 case
  13 cases
   2 cause
   2 census
   1 certain
   2 certificates
   2 certify
   1 cession
   1 charged
   2 charles
   2 chief
   8 choice
  10 choose
   4 choosing
   8 chosen
   1 chuse
   4 citizen
  18 citizens
   3 civil
   2 claim
   1 claiming
   2 claims
   3 class
   1 classes
   1 clauses
   1 clear
   1 clymer
   5 coin
   2 collect
   1 color
   2 comfort
   1 commander
   1 commenced
   2 commerce
   1 commission
   1 commissions
   4 committed
   4 common
   1 compact
   1 compel
   1 compelled
   5 compensation
   3 composed
   1 compulsory
   1 concerned
   1 concerning
   2 concur
   3 concurrence
   1 concurrent
   1 condition
   2 confederation
   1 confession
   1 confirmation
   1 confronted
  60 congress
   2 connecticut
  11 consent
   3 consequence
   1 consideration
   1 considered
   5 consist
   2 constitute
   1 constituting
  26 constitution
   1 constitutional
   1 constitutionally
   4 construed
   3 consuls
   2 continuance
   1 continue
   1 contracted
   1 contracts
   2 contrary
   1 control
   2 controversies
   1 controversy
   1 convene
   1 convened
   2 convention
   3 conventions
   4 convicted
   1 conviction
   1 corpus
   1 corruption
   1 cotesworth
   1 counsel
   2 counted
   1 counterfeiting
   1 counting
   7 court
   3 courts
   1 created
   3 credit
   6 crime
   3 crimes
   2 criminal
   1 cruel
   1 current
   1 dan
   2 danger
   1 danl
   4 date
   1 david
  12 day
   5 days
   1 dayton
   6 death
   1 debate
   2 debt
   5 debts
   1 december
   1 decide
   6 declaration
   2 declare
   2 declaring
   1 deem
   1 defend
   3 defense
   1 define
   2 delaware
   1 delay
   1 delegated
   2 delivered
   1 delivery
   1 demand
   5 denied
   2 deny
   2 department
   3 departments
   1 deprive
   2 deprived
   1 deputy
   1 derived
   1 describing
   1 desire
   2 determine
   2 determined
   1 determines
